keys,es,en,personaje,emocion,image,escena
intro_0_txt1_d1,Mierda.,Shit.,,,,
intro_0_txt1_d2,¿Estas bien cariño?,Are you okay honey?,,,,
intro_0_txt1_d3,Si amor. No me paso nada.,Yes love. Nothing happened to me.,,,,
intro_0_txt1_d4,No logre esquivar ese vehiculo.,I couldn't avoid that vehicle.,,,,
intro_0_txt1_d5,Hay muchos zombies aqui. Tengo miedo.,There are a lot of zombies here. I'm scared.,,,,
intro_0_txt1_d6,No te preocupes amor. Yo te pretegere. ,Don't worry. love. I'll protect you.,,,,
intro_0_txt1_d7,Busquemos un lugar seguro.,Let's find a safe place.,,,,
,,,,,,
intro_1_txt1_d1,!HAY ALGUIEN AHI!,Is anyone there? ,,,,
intro_1_txt1_d2,!NECESITAMOS AYUDAAAA!,We need help! ,,,,
intro_1_txt1_d3,!POR FAVOR DEJENOS ENTRAR!,Please let us in! ,,,,
intro_1_txt2_d1,!LARGANSE DE AQUI!,Get out of here! ,,,,
intro_1_txt3_d1,!SE LO SUPLICO SEÑOR!, I beg you sir!,,,,
intro_1_txt3_d2,!SI NO NOS ABRE VAMOS A MORIR!,If you don't open up we're going to die!,,,,
intro_1_txt4_d3,!ME IMPORTA UNA MIERDA LARGANSE O LOS MATO YO MISMO!,I don't care get out or I'll kill you myself! ,,,,
intro_1_txt5_d1,!POR FAVOR SEÑOR HAREMOS CUALQUIER COSA!,PLEASE SIR WE'LL DO ANYTHING!,,,,
intro_1_txt6_d1,¿Cualquier cosa?,Anything?,,,,
intro_1_txt6_d2,mhm... hay una mujer.,Mhm... there's a woman.,,,,
intro_1_txt6_d3,Muy bien si aceptan trabajar para mi.,Very well if you agree to work for me.,,,,
intro_1_txt6_d4,Los dejare entrar.,I'll let you in.,,,,
intro_1_txt6_d5,¿Aceptan?,Do you accept?,,,,
answ_1,¿Aceptas que trabajen para este hombre?,Do you accept that you work for this man?,,,,
btn_acept,Aceptar,Accept,,,,
btn_deny,Rechazar,Reject,,,,
intro_1_resp1,Excelente son bienvenidos...,Excellent. You're welcome...,,,,
intro_1_resp2,!Entonces JODANSE Y MUERANSE!,Then FUCK YOURSELVES AND DIE!,,,,
intro_2_txt1_d1,Muchas gracias le debemos la vida.,Thank you very much. we owe her our lives.,,,,
intro_2_txt2_d2,Gracias por dejarnos entrar.,Thank you for letting us in.,,,,
intro_2_txt3_d3,Vaya vaya ¿Pero quien es esta preciosura?,Well well But who is this beauty?,,,,
intro_2_txt4_d4,Mmh..,Mmh...,,,,
intro_2_txt5_d5,Ella es mi pareja y le pido que la respete.,She's my partner and I ask that you respect her.,,,,
intro_2_txt6_d6,Oh disculpenme. Solo quiero saber sus nombres.,Oh excuse me. I just want to know your names.,,,,
intro_2_txt7_d7,Mi nombre es ...,My name is...,,,,
intro_2_txt8_d8,Y yo soy Havany.,And I'm Havany.,,,,
intro_2_txt9_d9,Es un placer Havany. (Que deliciosa esta),It's a pleasure. Havany. (How delicious she is),,,,
intro_2_txt9_d10,(Me voy a divertir mucho con ella ja ja ja),(I'm going to have so much fun with her. ha ha ha),,,,
intro_2_txt9_d11,Mi nombre es Ratzwel,My name is Ratzwel,,,,
intro_2_txt9_d12,Yo soy el lider de este refugio.,I am the leader of this shelter.,,,,
intro_2_txt9_d13,Y aqui se hacen las cosas como yo digo ¿Entendieron?,And here things are done the way I say. Do you understand?,,,,
intro_2_txt9_d14,Muy bien ya que aceptaron trabajar para mi.,Very well. since you agreed to work for me.,,,,
intro_2_txt9_d15,Las reglas son las siguientes.,The rules are as follows.,,,,
intro_2_txt9_d16,Lo mas importante aqui es el dinero.,The most important thing here is money.,,,,
intro_2_txt9_d17,Asi que ambos van a tener que trabajar.,So both of you will have to work.,,,,
intro_2_txt9_d18,Y me daran un porcentaje de sus ingresos.,And you will give me a percentage of your income.,,,,
intro_2_txt9_d19,Cada cierto tiempo hay que hacer misiones grupales.,Every so often. you have to do group missions.,,,,
intro_2_txt9_d20,Existe una tienda por si quieren comprar suministros.,There is a store if you want to buy supplies.,,,,
intro_2_txt9_d21,Hay una tienda de armas tambien.,There is also a weapons store.,,,,
